count,hate_speech,offensive_language,neither,class,class_label,clean_tweet_improved
3.0,0.0,0.0,3.0,2.0,Neither,woman shouldnt complain cleaning house man always take trash
3.0,0.0,3.0,0.0,1.0,Offensive Language,boy dats coldtyga dwn bad cuffin dat hoe place
3.0,0.0,3.0,0.0,1.0,Offensive Language,dawg ever bitch start cry confused
3.0,0.0,2.0,1.0,1.0,Offensive Language,look tranny
6.0,0.0,6.0,0.0,1.0,Offensive Language,hear might true might faker bitch told
3.0,1.0,2.0,0.0,1.0,Offensive Language,blows meclaim faithful somebody still fucking hoes
3.0,0.0,3.0,0.0,1.0,Offensive Language,sit hate another bitch much going
3.0,0.0,3.0,0.0,1.0,Offensive Language,cause tired big bitches coming skinny girls
3.0,0.0,3.0,0.0,1.0,Offensive Language,might bitch back
3.0,1.0,2.0,0.0,1.0,Offensive Language,hobbies include fighting mariam bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,keeks bitch curves everyone walked conversation smh
3.0,0.0,3.0,0.0,1.0,Offensive Language,murda gang bitch gang land
3.0,0.0,2.0,1.0,1.0,Offensive Language,hoes smoke losers yea
3.0,0.0,3.0,0.0,1.0,Offensive Language,bad bitches thing
3.0,1.0,2.0,0.0,1.0,Offensive Language,bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch nigga miss
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch plz whatever
3.0,1.0,2.0,0.0,1.0,Offensive Language,bitch love
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitches cut everyday
3.0,0.0,3.0,0.0,1.0,Offensive Language,black bottle bad bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,broke bitch tell nothing
3.0,0.0,3.0,0.0,1.0,Offensive Language,cancel bitch nino
3.0,0.0,3.0,0.0,1.0,Offensive Language,see hoes change
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch even suck dick kermit videos bout
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch tip toeing hardwood floors
3.0,0.0,2.0,1.0,1.0,Offensive Language,pussy lips heaven doors
3.0,0.0,3.0,0.0,1.0,Offensive Language,hoe hitting
3.0,0.0,3.0,0.0,1.0,Offensive Language,met pussy ocean gave pussy pill
3.0,0.0,3.0,0.0,1.0,Offensive Language,need trippy bitch hennessy
3.0,0.0,3.0,0.0,1.0,Offensive Language,spend money want bitch business
3.0,0.0,3.0,0.0,1.0,Offensive Language,txt old bitch new bitch pussy wetter
3.0,0.0,3.0,0.0,1.0,Offensive Language,say back old old bitches would excited
3.0,0.0,3.0,0.0,1.0,Offensive Language,bout murder game pussy nigga shut
3.0,0.0,3.0,0.0,1.0,Offensive Language,toes done pussy stinks
3.0,0.0,3.0,0.0,1.0,Offensive Language,done bitter bitches wrap angry bird theres app
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,nothing cut bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,jus meet son mane ass bitches
3.0,0.0,2.0,1.0,1.0,Offensive Language,lames crying hoes tears clown
3.0,0.0,3.0,0.0,1.0,Offensive Language,snoop said love hoes
3.0,0.0,1.0,2.0,2.0,Neither,momma said pussy cats inside doghouse
3.0,0.0,3.0,0.0,1.0,Offensive Language,hated hoes favorite
3.0,0.0,3.0,0.0,1.0,Offensive Language,nice girls bad make naughty bad yello hoe real nice body south chick real thick
3.0,0.0,3.0,0.0,1.0,Offensive Language,pimps pimps hoes future voice
3.0,0.0,3.0,0.0,1.0,Offensive Language,post picture pussy likes
3.0,0.0,3.0,0.0,1.0,Offensive Language,pussy powerful drug
3.0,0.0,3.0,0.0,1.0,Offensive Language,quick piece pussy call drive
3.0,0.0,3.0,0.0,1.0,Offensive Language,running round brand new pussy bout fucked
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitches even worst theyll send guys
3.0,1.0,2.0,0.0,1.0,Offensive Language,hoes niggas spend money talk bout
3.0,1.0,2.0,0.0,1.0,Offensive Language,trust niggas bitches
3.0,0.0,3.0,0.0,1.0,Offensive Language,yall niggas cuffing hoes cause yall never bitches
3.0,0.0,3.0,0.0,1.0,Offensive Language,dodge bullet bitches cut pregnant bound thank god
3.0,0.0,3.0,0.0,1.0,Offensive Language,young pill chamberlain bitches love music
3.0,0.0,2.0,1.0,1.0,Offensive Language,teanna trump probably cleaner twitter hoes
3.0,0.0,3.0,0.0,1.0,Offensive Language,gay niggas couldnt wait act bitches tonight
3.0,0.0,3.0,0.0,1.0,Offensive Language,ima steal cat replace pitbull bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,hes gone always hoe
3.0,0.0,3.0,0.0,1.0,Offensive Language,son bitch took tic tacs movie
3.0,0.0,3.0,0.0,1.0,Offensive Language,wanna money model bitches russell simmons
3.0,0.0,2.0,1.0,1.0,Offensive Language,probably wouldnt mind school much deal bitch ass teachers retweet
3.0,0.0,3.0,0.0,1.0,Offensive Language,fucking fag said
3.0,0.0,3.0,0.0,1.0,Offensive Language,females think dating pussy cute stuff make pussy
3.0,0.0,0.0,3.0,2.0,Neither,simplyaddictedtoguys woof woof hot scally lad
3.0,0.0,3.0,0.0,1.0,Offensive Language,ever asked bitch bitches kanye voice yes
3.0,0.0,3.0,0.0,1.0,Offensive Language,gone bring side bitch game friends swear
3.0,0.0,1.0,2.0,2.0,Neither,woof woof hot soles
3.0,0.0,1.0,2.0,2.0,Neither,lemmie eat oreo dishes oreo
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch maybe youll better
3.0,1.0,2.0,0.0,1.0,Offensive Language,red malone man bitch ass niggah could please use complete sentences
3.0,0.0,0.0,3.0,2.0,Neither,eggplant emoji doey say looked scream lmao
3.0,0.0,3.0,0.0,1.0,Offensive Language,hennessey venom sexy bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,seh pussy wetter shower curtainltlmao
3.0,0.0,3.0,0.0,1.0,Offensive Language,every need see pic posted bitch said racist
3.0,1.0,2.0,0.0,1.0,Offensive Language,skateboarding yall wood pushing faggots man ball life
3.0,0.0,1.0,2.0,2.0,Neither,baby monkey bathtime soooo adorable
3.0,0.0,3.0,0.0,1.0,Offensive Language,damn skippy
3.0,1.0,2.0,0.0,1.0,Offensive Language,ever kill ant sidewalk think damn nigga way pussyno must gtchance
3.0,0.0,3.0,0.0,1.0,Offensive Language,rings mvps bitches
3.0,1.0,2.0,0.0,1.0,Offensive Language,ppl talk bad ghettohood kid growing nigga funnnnnnn
9.0,0.0,7.0,2.0,1.0,Offensive Language,facts tattoostattoo hes pussy tattooing nipples
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitches wanting act niggas bad cuteeeee niggas act bitches
3.0,0.0,3.0,0.0,1.0,Offensive Language,worshiping bitch woof woof
3.0,1.0,2.0,0.0,1.0,Offensive Language,wow lost buttcheek piercings yeah shes hoe
3.0,0.0,3.0,0.0,1.0,Offensive Language,sis shed rather broke bitch shrugs shell tell works
3.0,2.0,1.0,0.0,0.0,Hate Speech,queer gaywad
3.0,0.0,3.0,0.0,1.0,Offensive Language,faggot read tweets dat wasnt even funny
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch ungrateful lulwhore
3.0,0.0,3.0,0.0,1.0,Offensive Language,kidnapped bitch
3.0,3.0,0.0,0.0,0.0,Hate Speech,alsarabsss hes beaner smh tell hes mexican
3.0,1.0,2.0,0.0,1.0,Offensive Language,happy birthday nigs thanks
6.0,1.0,5.0,0.0,1.0,Offensive Language,teacher tells homework bitch need
3.0,1.0,2.0,0.0,1.0,Offensive Language,nigga eating hoe hell yea john paul nigga said john paul
3.0,0.0,3.0,0.0,1.0,Offensive Language,would yall lil ugly bald headed bitches stop making makeup weave
3.0,1.0,2.0,0.0,1.0,Offensive Language,leafs better win damn game riot better start looting nig
3.0,0.0,3.0,0.0,1.0,Offensive Language,going back school sucks dick hoes attend
3.0,0.0,3.0,0.0,1.0,Offensive Language,way bitch year old
3.0,0.0,3.0,0.0,1.0,Offensive Language,come never bring food car retard
3.0,0.0,3.0,0.0,1.0,Offensive Language,richnow doesnt show hella tinder hoes friend anymore chill brought prople
3.0,1.0,2.0,0.0,1.0,Offensive Language,bout cowboys shutup pussy
3.0,0.0,3.0,0.0,1.0,Offensive Language,lmaooooooooooo nigga ltbitch want likes depressing shitfoh
3.0,0.0,3.0,0.0,1.0,Offensive Language,girl spitting going lbvsbitch plz
3.0,0.0,3.0,0.0,1.0,Offensive Language,let make couple tweets cuzzo page twitter jaillmao bitch trick
3.0,0.0,2.0,1.0,1.0,Offensive Language,harlem shake excuse full retard seconds
3.0,0.0,3.0,0.0,1.0,Offensive Language,amen miley need act hoe shes emotionally damaged foh
3.0,0.0,3.0,0.0,1.0,Offensive Language,loyal female wayyyyy better hoes idc
3.0,0.0,3.0,0.0,1.0,Offensive Language,pussy licking pussy meow meow
3.0,0.0,3.0,0.0,1.0,Offensive Language,check man even faggot fans stands
3.0,0.0,3.0,0.0,1.0,Offensive Language,happen vixen ent bitches ran threw side foothill bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch okay nudes pat wow
3.0,3.0,0.0,0.0,0.0,Hate Speech,fucking gay blacklisted hoe holding anyway
3.0,0.0,3.0,0.0,1.0,Offensive Language,wrong bitches nobody knows
3.0,0.0,3.0,0.0,1.0,Offensive Language,yall shut upp make bitch
3.0,1.0,2.0,0.0,1.0,Offensive Language,hate pregnant type bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitches ever readem top
3.0,0.0,0.0,3.0,2.0,Neither,baseball season win love started
3.0,0.0,3.0,0.0,1.0,Offensive Language,little stupid bitch yoooooouuuu
3.0,0.0,3.0,0.0,1.0,Offensive Language,really asked dead ass serious tho could say bitch wheet
3.0,0.0,0.0,3.0,2.0,Neither,early bird night owl wise worms
3.0,0.0,1.0,2.0,2.0,Neither,overdosing heavy drugs doesnt sound bad tonight pussy every day
3.0,0.0,0.0,3.0,2.0,Neither,pit bulls photographed lovely fairy tale creatures fairy tale creatures
3.0,0.0,3.0,0.0,1.0,Offensive Language,fag tweet
3.0,0.0,0.0,3.0,2.0,Neither,long lakers trash could careless real hahaha
3.0,0.0,3.0,0.0,1.0,Offensive Language,say anything tho kiss faggot
3.0,0.0,0.0,3.0,2.0,Neither,play soccer cheat girls wear khaki coloured cargos haircut yup
3.0,0.0,3.0,0.0,1.0,Offensive Language,could fat ass bitch lap
3.0,0.0,3.0,0.0,1.0,Offensive Language,missed calls das bitch twitter finna screamn
6.0,0.0,6.0,0.0,1.0,Offensive Language,side bitch gotta rules shitanybody ask cousin jersey thinkin bout moving lmmfao
3.0,0.0,3.0,0.0,1.0,Offensive Language,amo los pies yeah
3.0,0.0,3.0,0.0,1.0,Offensive Language,hoes thinking meat slap ass ainna bruh
3.0,0.0,3.0,0.0,1.0,Offensive Language,yall bitches wit edges talking
3.0,0.0,3.0,0.0,1.0,Offensive Language,yall still going trick treating year nahhell yeah ima sweet tooth bandit steal bitches bags
3.0,0.0,3.0,0.0,1.0,Offensive Language,wanna sex mom right pussy came damn hacked
6.0,0.0,6.0,0.0,1.0,Offensive Language,kiss eyes open watch bitchlmfao
3.0,0.0,3.0,0.0,1.0,Offensive Language,woulda coulda shoulda ass hoe
3.0,0.0,3.0,0.0,1.0,Offensive Language,happy bday bitch ass nigga preciate bitch roll
3.0,0.0,3.0,0.0,1.0,Offensive Language,used send bitch
6.0,0.0,6.0,0.0,1.0,Offensive Language,ugly bitches wcw duh bitch nobody elses
3.0,1.0,2.0,0.0,1.0,Offensive Language,nigga hacky sack hoes nah throw look passes lmao
3.0,1.0,2.0,0.0,1.0,Offensive Language,glad getting outta atlanta nothing bunch niggas outta jail dumb bitches mad kids fuckin
3.0,0.0,1.0,2.0,2.0,Neither,ghettoits smart idc
3.0,0.0,2.0,1.0,1.0,Offensive Language,would wife hoe cuz wouldnt care cheating force relationship first place
3.0,0.0,3.0,0.0,1.0,Offensive Language,single excuse hoe
3.0,1.0,2.0,0.0,1.0,Offensive Language,white boy power bitch black power bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,lets drunk blowed spit spark blunts hoes bro white dudes chill
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch around world back
3.0,0.0,3.0,0.0,1.0,Offensive Language,dick sucked party bad bitch gone set
3.0,0.0,2.0,1.0,1.0,Offensive Language,soooo cute probably hoes lot
3.0,0.0,3.0,0.0,1.0,Offensive Language,every cartoon alway saving hoes lmao lmao damn captain saveahoe
3.0,0.0,1.0,2.0,2.0,Neither,wants nose bad bois hot sox legs
3.0,0.0,3.0,0.0,1.0,Offensive Language,wish bitch brother keezy ooooow bet
6.0,0.0,6.0,0.0,1.0,Offensive Language,dressed cat halloween basic pussy
4.0,0.0,4.0,0.0,1.0,Offensive Language,pornhub gaming stream feature dumb bitches gtfo katielt
3.0,0.0,3.0,0.0,1.0,Offensive Language,stop scared choke sex bitch ass niggas shell says guy hits women bed foh
3.0,0.0,3.0,0.0,1.0,Offensive Language,well iguess make hoes loyal bro theyll never loyal hoes nig
6.0,0.0,6.0,0.0,1.0,Offensive Language,man molly seed
3.0,0.0,3.0,0.0,1.0,Offensive Language,man refer every girl bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,lmfao cat started beating nigga finally pussy nigga
3.0,0.0,1.0,2.0,2.0,Neither,peel peel bring back rewind back move shaq line ooooow said trash
3.0,0.0,2.0,1.0,1.0,Offensive Language,alu record vine sai hahahaha anywaaaaaays haha
3.0,0.0,3.0,0.0,1.0,Offensive Language,naw old tape new cover upcoming mixtape yeah waiting hoe mayne
3.0,0.0,3.0,0.0,1.0,Offensive Language,dirty foot ass bitches funny
3.0,0.0,3.0,0.0,1.0,Offensive Language,yellow flags amazing hell yeah niggy
3.0,0.0,3.0,0.0,1.0,Offensive Language,time bitches actin iffy
3.0,0.0,0.0,3.0,2.0,Neither,come stay alive knights nation still early bird special
3.0,0.0,2.0,1.0,1.0,Offensive Language,hoes loyal smfh wonder nobody decent wants
3.0,0.0,3.0,0.0,1.0,Offensive Language,bruh studs keep thinking soft hell ask girl many times screamed bitch okay stfu bye hoe
3.0,0.0,3.0,0.0,1.0,Offensive Language,dry pussy bitches always blame condom
3.0,0.0,3.0,0.0,1.0,Offensive Language,shut bitch ass
3.0,0.0,3.0,0.0,1.0,Offensive Language,gucci mane jail dropping mixtapes every month hoes even text back
3.0,0.0,3.0,0.0,1.0,Offensive Language,love hoes money wats wrong niggas
6.0,0.0,6.0,0.0,1.0,Offensive Language,loyal bitch burbs without daddy issues finding holographic mewtwo sounding
3.0,0.0,3.0,0.0,1.0,Offensive Language,easy cum easy hoe fact
3.0,0.0,3.0,0.0,1.0,Offensive Language,charlie sheen real major fucking respect charlie sheen
3.0,0.0,3.0,0.0,1.0,Offensive Language,wish bae hoes tho
3.0,0.0,3.0,0.0,1.0,Offensive Language,twerking bitch cook
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch wtf
3.0,1.0,2.0,0.0,1.0,Offensive Language,shut zoe fight pussy zoe good man good maam move along
3.0,0.0,3.0,0.0,1.0,Offensive Language,lmao fucking snake bitches
3.0,0.0,3.0,0.0,1.0,Offensive Language,big booty hoes everywhere sheesh damn
3.0,0.0,0.0,3.0,2.0,Neither,stay tuned update report weeks
3.0,0.0,0.0,3.0,2.0,Neither,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao
3.0,0.0,3.0,0.0,1.0,Offensive Language,oregon chokes every year field trash ass program rft
3.0,0.0,3.0,0.0,1.0,Offensive Language,def cowboy terrell owens best eagle cowboy ever dude cried bitch romo
3.0,3.0,0.0,0.0,0.0,Hate Speech,lmfaoooo hate black people theres black people niggers
3.0,0.0,3.0,0.0,1.0,Offensive Language,could bitch potent
3.0,0.0,1.0,2.0,2.0,Neither,pissed lad past would lick dirty soles slept
3.0,0.0,1.0,2.0,2.0,Neither,love frat boy soft long soles
3.0,0.0,1.0,2.0,2.0,Neither,sexy lad hot soles arches
3.0,0.0,3.0,0.0,1.0,Offensive Language,nah fam gotta cheat hoes depends female feel
3.0,0.0,0.0,3.0,2.0,Neither,hicks
3.0,1.0,2.0,0.0,1.0,Offensive Language,new twitter confusing back south america bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,toto means ass vaginai think pussy cause toto santi nasty pussy
3.0,0.0,3.0,0.0,1.0,Offensive Language,actually choose ugly bitch ass must fat
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch couldnt kill vibe tried dis love miley
3.0,0.0,3.0,0.0,1.0,Offensive Language,tired bitches saying look mean nigga big wear tight shirts grim everybody
6.0,0.0,0.0,6.0,2.0,Neither,birds grandkids may never see thanks climate change
3.0,0.0,3.0,0.0,1.0,Offensive Language,stay beautiful bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
3.0,0.0,3.0,0.0,1.0,Offensive Language,money getting taller bitches getting blurry
3.0,1.0,2.0,0.0,1.0,Offensive Language,never seen bitch obsessed nigga obsessed mine
3.0,0.0,2.0,1.0,1.0,Offensive Language,kobe stay talking trash lets forget meant smh
3.0,2.0,1.0,0.0,0.0,Hate Speech,least nigger lmfao
3.0,0.0,3.0,0.0,1.0,Offensive Language,people always asking mixed bad asian bitch
3.0,2.0,1.0,0.0,0.0,Hate Speech,ariza snake coward least cripple hero roach lmaoo
3.0,0.0,1.0,2.0,2.0,Neither,fosters home imaginary trash whoa chill show everything
6.0,0.0,5.0,1.0,1.0,Offensive Language,lowkey tired tired quiet sleep hoe
3.0,0.0,3.0,0.0,1.0,Offensive Language,stop bringing weird niggers mentions
3.0,0.0,3.0,0.0,1.0,Offensive Language,love hoes
3.0,0.0,3.0,0.0,1.0,Offensive Language,girl homeboys weak bitch ass nigga
3.0,0.0,3.0,0.0,1.0,Offensive Language,think worst advice gave pussy speed
3.0,0.0,3.0,0.0,1.0,Offensive Language,quote tweet favorite animalpussy
3.0,0.0,3.0,0.0,1.0,Offensive Language,hate strippers tell theyre dancers hoe ballet dancers pop pussy beethoven stripper
3.0,0.0,3.0,0.0,1.0,Offensive Language,andrewbryant poff double vision beers poff double pussy smh
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitches twerk computer damn
3.0,0.0,3.0,0.0,1.0,Offensive Language,prince art nobody takin bitch
3.0,0.0,1.0,2.0,2.0,Neither,welfaregovernment aid claimed white people yall black slander trash
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitches care play role
6.0,0.0,6.0,0.0,1.0,Offensive Language,took find hiding lime tree dis bitch wrong tree bro
6.0,3.0,2.0,1.0,0.0,Hate Speech,drakes new shoes released nikejordan yes theres glitter shoes dudes fag
3.0,0.0,1.0,2.0,2.0,Neither,inna ghetto alone lmaoo
3.0,0.0,1.0,2.0,2.0,Neither,hoes austin teach austini teach curved
3.0,1.0,2.0,0.0,1.0,Offensive Language,bitches cook suck dick ones
3.0,0.0,3.0,0.0,1.0,Offensive Language,fat hoes chose
3.0,0.0,3.0,0.0,1.0,Offensive Language,well theyre hoesno expects loyal
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch ass
3.0,1.0,2.0,0.0,1.0,Offensive Language,bruh tired niggas retweetin miley cyrus naked bitch types bad lmaooo
3.0,0.0,3.0,0.0,1.0,Offensive Language,tony romo mavs game mean still bitch lmao fuk cowgirls bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,holy freddie highmore charlie chocolate factory rolls floor laughing
3.0,1.0,2.0,0.0,1.0,Offensive Language,want sex feel using anonymous whata faggot
3.0,0.0,3.0,0.0,1.0,Offensive Language,followers somebody bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch always bitching clearly care annoying bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,catfish hoes thinkin slick niggas catching
3.0,0.0,3.0,0.0,1.0,Offensive Language,worry bitch worried bout
3.0,0.0,3.0,0.0,1.0,Offensive Language,side hoes insecure niggas handle real
3.0,0.0,3.0,0.0,1.0,Offensive Language,lmao bitch come scooting tent
3.0,0.0,3.0,0.0,1.0,Offensive Language,cousin said share hoes brothers said sharing caring love brothers
3.0,0.0,3.0,0.0,1.0,Offensive Language,hungry ionn wanna spend money foodbroke hoe problems
6.0,0.0,6.0,0.0,1.0,Offensive Language,dese hoes lyin nigga
3.0,0.0,3.0,0.0,1.0,Offensive Language,yeah bitch
3.0,0.0,1.0,2.0,2.0,Neither,eli manning threw nflleading interception season lmao trash
3.0,0.0,1.0,2.0,2.0,Neither,usc senior anthony brown calls head coach steve sarkisian racist quits team hes bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,guess also zero time mansplaining adios stfu pussy
3.0,0.0,1.0,2.0,2.0,Neither,chilling sexy scally lad
3.0,0.0,3.0,0.0,1.0,Offensive Language,sharing bitch mines mines
3.0,0.0,3.0,0.0,1.0,Offensive Language,money impress simple broke bitches
3.0,0.0,2.0,1.0,1.0,Offensive Language,never anybodys bitch let people control change rigghhht
3.0,0.0,1.0,2.0,2.0,Neither,tuku idk blah blah blah
3.0,0.0,1.0,2.0,2.0,Neither,mad cuh hahaha suure tuku ita
3.0,0.0,3.0,0.0,1.0,Offensive Language,hoes crazy
3.0,0.0,3.0,0.0,1.0,Offensive Language,ever gonna slice bitch kevin hart
3.0,0.0,3.0,0.0,1.0,Offensive Language,oomf fuckin fine tho dam bitch
3.0,1.0,2.0,0.0,1.0,Offensive Language,wonder girl gave head boys drink magaluf twitter probly sends nudes fags
3.0,0.0,3.0,0.0,1.0,Offensive Language,yeah bitch yeah bitch call _______ maybe steveo later jesse pinkman
3.0,0.0,3.0,0.0,1.0,Offensive Language,hickies thighs right pussy gtgtgt right
3.0,0.0,3.0,0.0,1.0,Offensive Language,would still love longer young beautiful ugly monkey ass
3.0,1.0,2.0,0.0,1.0,Offensive Language,yall come frontbitch coming
3.0,1.0,2.0,0.0,1.0,Offensive Language,faggot bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,yea ipad work friday lets ball faggot work
3.0,0.0,1.0,2.0,2.0,Neither,scally lad would
3.0,2.0,1.0,0.0,0.0,Hate Speech,halloween yesterday stupid nigger
3.0,0.0,2.0,1.0,1.0,Offensive Language,chrus still supahot tho walks teacher test drops test bitch fohead
3.0,0.0,3.0,0.0,1.0,Offensive Language,love eating pussy never full eat forever ever
3.0,0.0,3.0,0.0,1.0,Offensive Language,slushes hoes nasty anyway famthem hoes taste meds
3.0,0.0,2.0,1.0,1.0,Offensive Language,slushes hoes nasty anyway fam
3.0,1.0,2.0,0.0,1.0,Offensive Language,bobby bitchby getting live hell yea play hoe workout
3.0,0.0,3.0,0.0,1.0,Offensive Language,bitch gucci mane bitch stoner
3.0,0.0,3.0,0.0,1.0,Offensive Language,ride bitch handle bars
3.0,0.0,3.0,0.0,1.0,Offensive Language,hoe traphoussseeeee
3.0,0.0,0.0,3.0,2.0,Neither,sad character deaths still bitter stark man
3.0,0.0,3.0,0.0,1.0,Offensive Language,harbor bitches party bus hoes
3.0,0.0,3.0,0.0,1.0,Offensive Language,pussy love
3.0,0.0,3.0,0.0,1.0,Offensive Language,ultraviolence video coming little bitch lana del rey bitchy promo
3.0,0.0,3.0,0.0,1.0,Offensive Language,way bitch lmfao kittycopter
3.0,0.0,0.0,3.0,2.0,Neither,smuggler explains helped fighters along jihadi highway
3.0,0.0,3.0,0.0,1.0,Offensive Language,aww avis look cute together gotta ike avi bitch
3.0,0.0,3.0,0.0,1.0,Offensive Language,simple hoedont worry exposed fight mewhy
3.0,0.0,3.0,0.0,1.0,Offensive Language,whys bitch boosting size exactly healthy tho
3.0,0.0,3.0,0.0,1.0,Offensive Language,bet bitches kim bye
3.0,0.0,3.0,0.0,1.0,Offensive Language,damn near gotta protect tweets stalkers annoying dope dick drive bitches loco
3.0,0.0,3.0,0.0,1.0,Offensive Language,making marack girlfriend aye pullin hoes taught
3.0,1.0,2.0,0.0,1.0,Offensive Language,bruno fag boy love
3.0,0.0,3.0,0.0,1.0,Offensive Language,must bitch sike naw always beefing
3.0,0.0,0.0,3.0,2.0,Neither,look rally bottom
3.0,0.0,3.0,0.0,1.0,Offensive Language,take advantage nice person hoes everyjuan
3.0,1.0,2.0,0.0,1.0,Offensive Language,happy birthday bitch nigga thanks pal
3.0,0.0,3.0,0.0,1.0,Offensive Language,sad knowing hoes stacks wait till friday
3.0,0.0,3.0,0.0,1.0,Offensive Language,cinco harder fucc niggayee fucc wit rich homie cuz dats homeboy fucc nicca
3.0,0.0,3.0,0.0,1.0,Offensive Language,ewww said last sundayas last sunday read nigs
4.0,1.0,3.0,0.0,1.0,Offensive Language,punch real niggas face cause pussy nigga gonna punch right back strong mush shake
3.0,0.0,3.0,0.0,1.0,Offensive Language,pussy still fresh something stank girls say
4.0,0.0,4.0,0.0,1.0,Offensive Language,ass slapping greatest things haha slapped girl ass mad pussy week
3.0,0.0,3.0,0.0,1.0,Offensive Language,yeah texans much better fucking retard see mad
3.0,1.0,2.0,0.0,1.0,Offensive Language,wtf dark bitches blonde please several seats hoe looking blackampmilds
4.0,0.0,4.0,0.0,1.0,Offensive Language,theres lane bitches need stay left right outta face
3.0,0.0,3.0,0.0,1.0,Offensive Language,hate boys deny bitches smh
